# 交ぜ書き訂正辞書
# 出典と改変内容は同ディレクトリの NOTICE を参照してください。
# 列: 誤表記	正規（漢字）表記	読み	品詞	種別	備考	出典
あいあい	藹々	アイアイ	形状詞-タリ	かな書き		SudachiDict-small
あいいろ	藍色	アイイロ	名詞-普通名詞	かな書き		SudachiDict-small
あい色	藍色	アイイロ	名詞-普通名詞	交ぜ書き		SudachiDict-small
藍いろ	藍色	アイイロ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいかぎ	合鍵	アイカギ	名詞-普通名詞	かな書き		SudachiDict-small
合いかぎ	合鍵	アイカギ	名詞-普通名詞	交ぜ書き		SudachiDict-small
合かぎ	合鍵	アイカギ	名詞-普通名詞	交ぜ書き	生成(要確認)	generated-2010追加
相がかり	相懸かり	アイガカリ	名詞-普通名詞	交ぜ書き		SudachiDict-small
愛がん	愛玩	アイガン	名詞-普通名詞	交ぜ書き	生成(要確認)	generated-2010追加
愛きょう	愛敬	アイキョウ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいくち	匕首	アイクチ	名詞-普通名詞	かな書き		SudachiDict-small
あいくるし	愛くるしい	アイクルシ	形容詞-一般	かな書き	要確認(活用/語形不一致)	SudachiDict-small
あいくるしい	愛くるしい	アイクルシイ	形容詞-一般	かな書き		SudachiDict-small
あい犬	愛犬	アイケン	名詞-普通名詞	交ぜ書き		SudachiDict-small
哀こく	哀哭	アイコク	名詞-普通名詞	交ぜ書き	生成(要確認)	generated-表外
あいさ	秋沙	アイサ	名詞-普通名詞	かな書き		SudachiDict-small
あいさつ	挨拶	アイサツ	名詞-普通名詞	かな書き		SudachiDict-small
あいさつ状	挨拶状	アイサツジョウ	名詞-普通名詞	交ぜ書き		SudachiDict-core
あいさつ文	挨拶文	アイサツブン	名詞-普通名詞	交ぜ書き		SudachiDict-core
あいさつ回り	挨拶回り	アイサツマワリ	名詞-普通名詞	交ぜ書き		SudachiDict-core
挨拶まわり	挨拶廻り	アイサツマワリ	名詞-普通名詞	交ぜ書き		SudachiDict-core
愛しあう	愛し合う	アイシアウ	動詞-一般	交ぜ書き		SudachiDict-small
愛しあえる	愛し合う	アイシアエル	動詞-一般	交ぜ書き	要確認(活用/語形不一致)	SudachiDict-small
愛しょう	愛妾	アイショウ	名詞-普通名詞	交ぜ書き	生成(要確認)	generated-表外
あい地	藍地	アイジ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいじょう	愛情	アイジョウ	名詞-普通名詞	かな書き		SudachiDict-small
あいす	愛する	アイス	動詞-一般	かな書き	要確認(活用/語形不一致)	SudachiDict-small
あいする	愛する	アイスル	動詞-一般	かな書き		SudachiDict-small
あいず	合図	アイズ	名詞-普通名詞	かな書き		SudachiDict-small
あいせつ	哀切	アイセツ	名詞-普通名詞	かな書き		SudachiDict-small
あいせる	愛する	アイセル	動詞-一般	かな書き		SudachiDict-small
あいそ	愛想	アイソ	名詞-普通名詞	かな書き		SudachiDict-small
あいそう	愛想	アイソウ	名詞-普通名詞	かな書き		SudachiDict-small
あい染め	藍染め	アイゾメ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいだ	間	アイダ	名詞-普通名詞	かな書き		SudachiDict-small
あいだがら	間柄	アイダガラ	名詞-普通名詞	かな書き		SudachiDict-small
間がら	間柄	アイダガラ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいづち	相槌	アイヅチ	名詞-普通名詞	かな書き		SudachiDict-small
相づち	相槌	アイヅチ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいて	相手	アイテ	名詞-普通名詞	かな書き		SudachiDict-small
あい手	相手	アイテ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいどく	愛読	アイドク	名詞-普通名詞	かな書き		SudachiDict-small
あいなめ	鮎魚女	アイナメ	名詞-普通名詞	かな書き		SudachiDict-small
あいにく	生憎	アイニク	副詞	かな書き		SudachiDict-small
あいのこ	合の子	アイノコ	名詞-普通名詞	かな書き		SudachiDict-small
あいの子	合の子	アイノコ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいの手	合いの手	アイノテ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいのり	相乗り	アイノリ	名詞-普通名詞	かな書き		SudachiDict-small
合いびき	合い挽き	アイビキ	名詞-普通名詞	交ぜ書き		SudachiDict-small
逢いびき	逢い引き	アイビキ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいびき肉	合い挽き肉	アイビキニク	名詞-普通名詞	交ぜ書き		SudachiDict-core
合いびき肉	合い挽き肉	アイビキニク	名詞-普通名詞	交ぜ書き		SudachiDict-core
愛ぶ	愛撫	アイブ	名詞-普通名詞	交ぜ書き	生成(要確認)	generated-表外
あいま	合間	アイマ	名詞-普通名詞	かな書き		SudachiDict-small
あい間	合間	アイマ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あひ間	合間	アイマ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あいまい	曖昧	アイマイ	形状詞-一般	かな書き		SudachiDict-small
あい昧	曖昧	アイマイ	形状詞-一般	交ぜ書き		SudachiDict-small
あいよう	愛用	アイヨウ	名詞-普通名詞	かな書き		SudachiDict-small
あいらし	愛らしい	アイラシ	形容詞-一般	かな書き	要確認(活用/語形不一致)	SudachiDict-small
あいらしい	愛らしい	アイラシイ	形容詞-一般	かな書き		SudachiDict-small
あい路	隘路	アイロ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あうん	阿吽	アウン	名詞-普通名詞	かな書き		SudachiDict-small
あ・うん	阿吽	アウン	名詞-普通名詞	かな書き		SudachiDict-small
あええ	淡い	アエエ	形容詞-一般	かな書き	要確認(活用/語形不一致)	SudachiDict-small
あえぎ	喘ぎ	アエギ	名詞-普通名詞	かな書き		SudachiDict-small
あえぎあえぎ	喘ぎ喘ぎ	アエギアエギ	副詞	かな書き		SudachiDict-small
あえぎ苦しむ	喘ぎ苦しむ	アエギクルシム	動詞-一般	交ぜ書き		SudachiDict-small
あえぎ声	喘ぎ声	アエギゴエ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あえぐ	喘ぐ	アエグ	動詞-一般	かな書き		SudachiDict-small
あえごろも	和え衣	アエゴロモ	名詞-普通名詞	かな書き		SudachiDict-small
あえ衣	和え衣	アエゴロモ	名詞-普通名詞	交ぜ書き		SudachiDict-small
あえて	敢えて	アエテ	副詞	かな書き		SudachiDict-small
あえな	敢え無い	アエナ	形容詞-一般	かな書き	要確認(活用/語形不一致)	SudachiDict-small
あえない	敢え無い	アエナイ	形容詞-一般	かな書き		SudachiDict-small
あえ無い	敢え無い	アエナイ	形容詞-一般	交ぜ書き		SudachiDict-small
敢えない	敢え無い	アエナイ	形容詞-一般	交ぜ書き		SudachiDict-small
あえねえ	敢え無い	アエネエ	形容詞-一般	かな書き	要確認(活用/語形不一致)	SudachiDict-small
あえ無え	敢え無い	アエネエ	形容詞-一般	交ぜ書き	要確認(活用/語形不一致)	SudachiDict-small
敢えねえ	敢え無い	アエネエ	形容詞-一般	交ぜ書き	要確認(活用/語形不一致)	SudachiDict-small
あえ混ぜる	和え混ぜる	アエマゼル	動詞-一般	交ぜ書き		SudachiDict-small
あえもの	和え物	アエモノ	名詞-普通名詞	かな書き		SudachiDict-small
あえ物	和え物	アエモノ	名詞-普通名詞	交ぜ書き		SudachiDict-small
和えもの	和え物	アエモノ	名詞-普通名詞	交ぜ書き		SudachiDict-small
