# 交ぜ書き辞書（MeCab がある環境でだけ使う層）
#
# SudachiDict の正規化表記から派生したデータ。
# Copyright (c) 2017-2023 Works Applications Co., Ltd. / Apache License 2.0
# 帰属表示と改変内容: プロジェクトルートの THIRD-PARTY-LICENSES.md
# ライセンス全文: プロジェクトルートの LICENSE-APACHE-2.0.txt
# 元データ・絞り込みの条件と実測値: 同ディレクトリの mazegaki-source.tsv / filter.rb
#
# 手で編集しないこと。`rake mazegaki:build` が生成する。
# 列: 交ぜ書き<TAB>漢字表記
1人ひとり	一人一人
あいさつ文	挨拶文
あいさつ状	挨拶状
あおい祭	葵祭
あおり板	障泥板
あかね空	茜空
あかね色	茜色
あかね雲	茜雲
あぐり網	揚繰網
あけび袋	木通袋
あけぼの杉	曙杉
あご伯父	顎伯父
あさり汁	浅蜊汁
あさり缶	浅蜊缶
あさり豆	浅蜊豆
あじ寿司	鯵寿司
あずきご飯	小豆御飯
あずき氷	小豆氷
あずき粉	小豆粉
あずき粒	小豆粒
あずき缶	小豆缶
あずき色	小豆色
あずさ弓	梓弓
あずま屋	東屋
あたし達	私達
あっせん料	斡旋料
あったら物	可惜物
あっち側	彼方側
あづま路	東路
あばら筋	肋筋
あばら骨	肋骨
あひる卵	家鴨卵
あひる女	家鴨女
あぶく銭	泡銭
あぶみ骨	鐙骨
あぶら汗	脂汗
あぶら身	脂身
あみだ堂	阿弥陀堂
あみだ如来	阿弥陀如来
あめ細工	飴細工
ありそ海	荒磯海
あり地獄	蟻地獄
あわせ帯	合帯
あ羅漢	阿羅漢
あ鼻叫喚	阿鼻叫喚
いおり点	庵点
いかさま師	如何様師
いかり草	碇草
いがぐり頭	毬栗頭
いくさ場	戦場
いさり火	漁火
いたずら心	悪戯心
いたち筆	鼬筆
いたづら心	悪戯心
いちご味	苺味
いちご柄	苺柄
いちご畑	苺畑
いちご舌	苺舌
いっかくじゅう座	一角獣座
いとこ煮	従兄弟煮
いなか町	田舎町
いなか者	田舎者
いなか道	田舎道
いのち毛	命毛
いぶし銀	燻銀
いもち病	稲熱病
いも焼酎	芋焼酎
いるか座	海豚座
いろは楓	伊呂波楓
いろは歌	伊呂波歌
いろり火	囲炉裏火
いろり端	囲炉裏端
いわし屋	鰯屋
いわし漁	鰯漁
いわし節	鰯節
いわし雲	鰯雲
いわし鯨	鰯鯨
いんげん豆	隠元豆
い万里焼	伊万里焼
うがい薬	嗽薬
うぐいす粉	鶯粉
うぐいす色	鶯色
