"エラー: このエラーによって本の出版がブロックされます。出版するには、エラーを修正する必要があります。"
"注意: この問題によって本の出版がブロックされることはありません。影響が及ぶことはありませんので、無視しても問題ありません。"
"タイプ","内容紹介","ソース ファイル","行番号","警告またはエラーの前のテキスト","推奨される修正"
"注意","W14012: メディアファイルフォーマットがサポートされていません  /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/00-preface/vs_vivlio_starter_logo_outline.webp","","","",""
"注意","W14010: メディアファイルが見つかりません  /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/94-sample/Einstein&apos;s_later_years.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/00-preface/hayase_hiromu.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/00-preface/kauplan.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/00-preface/logo.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/00-preface/vivliostyle_logo.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/00-preface/vs_vivlio_starter_logo_outline.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/11-workflow/no_image.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/11-workflow/workflow.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/22-extentions/vivlio_starter_guidebook.webp","","","",""
